filtro,freq_hz,arquivo_fonte,Ve_Vpp,Vs_Vpp,fase_graus,observacao
PA,10,Amplitudes_PA_10hz.png,4.11,0.0521,-86.8,"Contador interno confirma <10Hz (compativel com 10Hz, abaixo do limiar de contagem do osciloscopio). Amplitude_PA_10hz_M.png foi descartado: e uma copia byte-identica de Amplitude_PA_60hz_M.png (mesmo timestamp 17/08/2026 22:32, mesmos valores 290mV/86,8graus/4,99V, contador interno mostra 59,9977Hz) - arquivo mal rotulado, nao contem dado de 10Hz."
PA,30,Amplitude_PA_30hz_M.png,4.91,0.150,93.0,"Contador interno confirma 30,0007Hz. Existe arquivo alternativo Amplitudes_PA_30hz.png (mesma freq, 29,9970Hz) mas sem quadro de fase, so 'Amplitude' Ch1=19,2V/Ch2=599mV (escala de entrada maior, sessao diferente) - descartado em favor do arquivo com fase."
PA,60,Amplitude_PA_60hz_M.png,4.99,0.290,86.8,"Contador interno confirma 59,9977Hz."
PA,100,Amplitude_PA_100hz_M.png,5.02,0.471,85.2,"Contador interno confirma 99,9965Hz. Arquivo alternativo Amplitude_PA_100hz.png (100,002Hz) sem quadro de fase, so Amplitude Ch1=19,5V/Ch2=1,82V - descartado."
PA,300,Amplitude_PA_300hz_M.png,5.06,1.37,74.7,"Contador interno confirma 299,999Hz. Arquivo alternativo Amplitude_PA_300hz.png (300,001Hz) sem fase - descartado."
PA,600,Amplitude_PA_1000hz_M.png,4.99,2.43,60.9,"ARQUIVO MAL ROTULADO: nome cita 1000Hz mas o contador de frequencia interno da propria imagem mostra 599.997Hz. Conteudo real e a medida de fase de 600Hz (nao existe arquivo '..._600hz_M.png'). Amplitude_PA_600hz.png (o arquivo corretamente nomeado) nao tem quadro de fase."
PA,800,Amplitude_PA_800hz.png,19.2,11.6,,"SEM quadro de fase na captura (so 'Amplitude' Ch1/Ch2, painel Ch2 aberto). Contador interno confirma 799,996Hz. Nenhum arquivo alternativo com fase foi encontrado para 800Hz (Images/Alternative_Images/ e copia identica por md5sum). Usar estimativa teorica da Eq. 1.4 no relatorio, sinalizada como nao medida. Valores Ve/Vs sao 'Amplitude' (nao 'Pico a Pico'), usados como proxy de Vpp."
PA,1000,Amplitude_PA_1300hz_M.png,4.95,3.40,46.6,"ARQUIVO MAL ROTULADO: nome cita 1300Hz mas o contador de frequencia interno mostra 0.99999kHz (=999,99Hz). Conteudo real e a medida de fase de 1000Hz. Amplitude_PA_1000hz.png (nome correto) nao tem quadro de fase - so Amplitude Ch1=19,2V/Ch2=13,3V."
PA,1300,Amplitude_PA_1300hz.png,19.2,14.6,,"SEM quadro de fase na captura (so 'Amplitude' Ch1/Ch2, painel Ch2 aberto). Contador interno confirma 1,30000kHz. Nao ha nenhum outro arquivo (com sufixo _M ou nao) contendo dado de fase para 1300Hz - gap adicional descoberto nesta transcricao, alem dos ja conhecidos 800Hz. Usar estimativa teorica da Eq. 1.4 no relatorio, sinalizada como nao medida."
PA,2000,Amplitude_PA_2000hz_M.png,5.02,4.38,27.4,"Contador interno confirma 2,00000kHz. Arquivo alternativo Amplitude_PA_2000hz.png sem fase - descartado."
